Local Authority,Attribute,Financial Year,Sum of Value
Preston City Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2020,19159
Preston City Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2021,18603
Preston City Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2022,16861
Preston City Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2023,15496
Preston City Council,Non-household - estimated rejects (tonnes),2014,0
Preston City Council,Non-household - estimated rejects (tonnes),2015,0
Preston City Council,Non-household - estimated rejects (tonnes),2016,0
Preston City Council,Non-household - estimated rejects (tonnes),2017,0
Preston City Council,Non-household - estimated rejects (tonnes),2018,0
Preston City Council,Non-household - estimated rejects (tonnes),2019,0
Preston City Council,Non-household - estimated rejects (tonnes),2020,0
Preston City Council,Non-household - estimated rejects (tonnes),2021,0
Preston City Council,Non-household - estimated rejects (tonnes),2022,0
Preston City Council,Non-household - estimated rejects (tonnes),2023,0
Preston City Council,Non-household - total waste (tonnes),2014,6128
Preston City Council,Non-household - total waste (tonnes),2015,7282
Preston City Council,Non-household - total waste (tonnes),2016,7359
Preston City Council,Non-household - total waste (tonnes),2017,6279
Preston City Council,Non-household - total waste (tonnes),2018,5538
Preston City Council,Non-household - total waste (tonnes),2019,4338
Preston City Council,Non-household - total waste (tonnes),2020,3850
Preston City Council,Non-household - total waste (tonnes),2021,4262
Preston City Council,Non-household - total waste (tonnes),2022,4542
Preston City Council,Non-household - total waste (tonnes),2023,4670
Preston City Council,Non-household - waste not sent for recycling (tonnes),2014,5574
Preston City Council,Non-household - waste not sent for recycling (tonnes),2015,6704
Preston City Council,Non-household - waste not sent for recycling (tonnes),2016,6143
Preston City Council,Non-household - waste not sent for recycling (tonnes),2017,5226
Preston City Council,Non-household - waste not sent for recycling (tonnes),2018,4415
Preston City Council,Non-household - waste not sent for recycling (tonnes),2019,3357
Preston City Council,Non-household - waste not sent for recycling (tonnes),2020,3096
Preston City Council,Non-household - waste not sent for recycling (tonnes),2021,3326
Preston City Council,Non-household - waste not sent for recycling (tonnes),2022,3699
Preston City Council,Non-household - waste not sent for recycling (tonnes),2023,3901
Preston City Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2014,554
Preston City Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2015,578
Preston City Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2016,1216
Preston City Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2017,1053
Preston City Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2018,1122
Preston City Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2019,981
Preston City Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2020,755
Preston City Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2021,936
Preston City Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2022,844
Preston City Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2023,769
Preston City Council,Total local authority collected waste (tonnes),2014,56663
Preston City Council,Total local authority collected waste (tonnes),2015,60563
Preston City Council,Total local authority collected waste (tonnes),2016,61256
Preston City Council,Total local authority collected waste (tonnes),2017,57465
Preston City Council,Total local authority collected waste (tonnes),2018,56631
Preston City Council,Total local authority collected waste (tonnes),2019,55803
Preston City Council,Total local authority collected waste (tonnes),2020,61466
Preston City Council,Total local authority collected waste (tonnes),2021,58944
Preston City Council,Total local authority collected waste (tonnes),2022,56750
Preston City Council,Total local authority collected waste (tonnes),2023,56722
Ribble Valley Borough Council,Household - civic amenity sites (not recycled) (tonnes),2014,0
Ribble Valley Borough Council,Household - civic amenity sites (not recycled) (tonnes),2015,0
Ribble Valley Borough Council,Household - civic amenity sites (not recycled) (tonnes),2016,0
Ribble Valley Borough Council,Household - civic amenity sites (not recycled) (tonnes),2017,0
Ribble Valley Borough Council,Household - civic amenity sites (not recycled) (tonnes),2018,0
Ribble Valley Borough Council,Household - civic amenity sites (not recycled) (tonnes),2019,0
Ribble Valley Borough Council,Household - civic amenity sites (not recycled) (tonnes),2020,0
Ribble Valley Borough Council,Household - civic amenity sites (not recycled) (tonnes),2021,0
Ribble Valley Borough Council,Household - civic amenity sites (not recycled) (tonnes),2022,0
Ribble Valley Borough Council,Household - civic amenity sites (not recycled) (tonnes),2023,0
Ribble Valley Borough Council,Household - estimated rejects (tonnes),2014,67
Ribble Valley Borough Council,Household - estimated rejects (tonnes),2015,54
Ribble Valley Borough Council,Household - estimated rejects (tonnes),2016,50
Ribble Valley Borough Council,Household - estimated rejects (tonnes),2017,527
Ribble Valley Borough Council,Household - estimated rejects (tonnes),2018,502
Ribble Valley Borough Council,Household - estimated rejects (tonnes),2019,231
Ribble Valley Borough Council,Household - estimated rejects (tonnes),2020,459
Ribble Valley Borough Council,Household - estimated rejects (tonnes),2021,401
Ribble Valley Borough Council,Household - estimated rejects (tonnes),2022,534
Ribble Valley Borough Council,Household - estimated rejects (tonnes),2023,458
Ribble Valley Borough Council,Household - other sources (not recycled) (tonnes),2014,0
Ribble Valley Borough Council,Household - other sources (not recycled) (tonnes),2015,754
Ribble Valley Borough Council,Household - other sources (not recycled) (tonnes),2016,604
Ribble Valley Borough Council,Household - other sources (not recycled) (tonnes),2017,363
Ribble Valley Borough Council,Household - other sources (not recycled) (tonnes),2018,395
Ribble Valley Borough Council,Household - other sources (not recycled) (tonnes),2019,917
Ribble Valley Borough Council,Household - other sources (not recycled) (tonnes),2020,611
Ribble Valley Borough Council,Household - other sources (not recycled) (tonnes),2021,842
Ribble Valley Borough Council,Household - other sources (not recycled) (tonnes),2022,991
Ribble Valley Borough Council,Household - other sources (not recycled) (tonnes),2023,1308
Ribble Valley Borough Council,Household - regular collection (not recycled) (tonnes),2014,13691
Ribble Valley Borough Council,Household - regular collection (not recycled) (tonnes),2015,13101
Ribble Valley Borough Council,Household - regular collection (not recycled) (tonnes),2016,13944
Ribble Valley Borough Council,Household - regular collection (not recycled) (tonnes),2017,15435
Ribble Valley Borough Council,Household - regular collection (not recycled) (tonnes),2018,14728
Ribble Valley Borough Council,Household - regular collection (not recycled) (tonnes),2019,14554
Ribble Valley Borough Council,Household - regular collection (not recycled) (tonnes),2020,16273
Ribble Valley Borough Council,Household - regular collection (not recycled) (tonnes),2021,14364
Ribble Valley Borough Council,Household - regular collection (not recycled) (tonnes),2022,13614
Ribble Valley Borough Council,Household - regular collection (not recycled) (tonnes),2023,13128
Ribble Valley Borough Council,Household - total waste (tonnes),2014,22406
Ribble Valley Borough Council,Household - total waste (tonnes),2015,23220
Ribble Valley Borough Council,Household - total waste (tonnes),2016,23184
Ribble Valley Borough Council,Household - total waste (tonnes),2017,23599
Ribble Valley Borough Council,Household - total waste (tonnes),2018,22869
Ribble Valley Borough Council,Household - total waste (tonnes),2019,24007
Ribble Valley Borough Council,Household - total waste (tonnes),2020,26503
Ribble Valley Borough Council,Household - total waste (tonnes),2021,24999
Ribble Valley Borough Council,Household - total waste (tonnes),2022,23832
Ribble Valley Borough Council,Household - total waste (tonnes),2023,24275
Ribble Valley Borough Council,Household - waste not sent for recycling (tonnes),2014,13758
Ribble Valley Borough Council,Household - waste not sent for recycling (tonnes),2015,13909
Ribble Valley Borough Council,Household - waste not sent for recycling (tonnes),2016,14598
Ribble Valley Borough Council,Household - waste not sent for recycling (tonnes),2017,16325
Ribble Valley Borough Council,Household - waste not sent for recycling (tonnes),2018,15625
Ribble Valley Borough Council,Household - waste not sent for recycling (tonnes),2019,15702
Ribble Valley Borough Council,Household - waste not sent for recycling (tonnes),2020,17344
Ribble Valley Borough Council,Household - waste not sent for recycling (tonnes),2021,15607
Ribble Valley Borough Council,Household - waste not sent for recycling (tonnes),2022,15139
Ribble Valley Borough Council,Household - waste not sent for recycling (tonnes),2023,14894
Ribble Valley Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2014,8648
Ribble Valley Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2015,9311
Ribble Valley Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2016,8586
Ribble Valley Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2017,7274
