Local Authority,Statistics,Sex,Pay Type,Attribute,Sum of Value
Wyre,10 percentile,Part Time Workers,Weekly pay - gross,Confidence,57
Wyre,10 percentile,Part Time Workers,Weekly pay - gross,Value,185.7
Blackburn with Darwen,10 percentile,Total,Annual pay - gross,Confidence,219
Blackburn with Darwen,10 percentile,Total,Annual pay - gross,Value,123656
Blackpool,10 percentile,Total,Annual pay - gross,Confidence,211
Blackpool,10 percentile,Total,Annual pay - gross,Value,104177
Burnley,10 percentile,Total,Annual pay - gross,Confidence,181
Burnley,10 percentile,Total,Annual pay - gross,Value,100823
Chorley,10 percentile,Total,Annual pay - gross,Confidence,187
Chorley,10 percentile,Total,Annual pay - gross,Value,97867
Fylde,10 percentile,Total,Annual pay - gross,Confidence,70
Fylde,10 percentile,Total,Annual pay - gross,Value,35633
Great Britain,10 percentile,Total,Annual pay - gross,Confidence,15.6
Great Britain,10 percentile,Total,Annual pay - gross,Value,144218
Hyndburn,10 percentile,Total,Annual pay - gross,Confidence,112
Hyndburn,10 percentile,Total,Annual pay - gross,Value,59995
Lancaster,10 percentile,Total,Annual pay - gross,Confidence,201.5
Lancaster,10 percentile,Total,Annual pay - gross,Value,104904
North West,10 percentile,Total,Annual pay - gross,Confidence,58.1
North West,10 percentile,Total,Annual pay - gross,Value,141594
Pendle,10 percentile,Total,Annual pay - gross,Confidence,121
Pendle,10 percentile,Total,Annual pay - gross,Value,49203
Preston,10 percentile,Total,Annual pay - gross,Confidence,183.9
Preston,10 percentile,Total,Annual pay - gross,Value,88070
Ribble Valley,10 percentile,Total,Annual pay - gross,Confidence,103
Ribble Valley,10 percentile,Total,Annual pay - gross,Value,57391
Rossendale,10 percentile,Total,Annual pay - gross,Confidence,131
Rossendale,10 percentile,Total,Annual pay - gross,Value,66307
South Ribble,10 percentile,Total,Annual pay - gross,Confidence,211
South Ribble,10 percentile,Total,Annual pay - gross,Value,118761
West Lancashire,10 percentile,Total,Annual pay - gross,Confidence,95
West Lancashire,10 percentile,Total,Annual pay - gross,Value,52536
Wyre,10 percentile,Total,Annual pay - gross,Confidence,111
Wyre,10 percentile,Total,Annual pay - gross,Value,51401
Blackburn with Darwen,10 percentile,Total,Hourly pay - gross,Confidence,18.7
Blackburn with Darwen,10 percentile,Total,Hourly pay - gross,Value,140.92
Blackpool,10 percentile,Total,Hourly pay - gross,Confidence,19.3
Blackpool,10 percentile,Total,Hourly pay - gross,Value,138.04
Burnley,10 percentile,Total,Hourly pay - gross,Confidence,33.4
Burnley,10 percentile,Total,Hourly pay - gross,Value,140.91
Chorley,10 percentile,Total,Hourly pay - gross,Confidence,39.7
Chorley,10 percentile,Total,Hourly pay - gross,Value,145.39
Fylde,10 percentile,Total,Hourly pay - gross,Confidence,48.5
Fylde,10 percentile,Total,Hourly pay - gross,Value,143.04
Great Britain,10 percentile,Total,Hourly pay - gross,Confidence,1.6
Great Britain,10 percentile,Total,Hourly pay - gross,Value,145.26
Hyndburn,10 percentile,Total,Hourly pay - gross,Confidence,34.3
Hyndburn,10 percentile,Total,Hourly pay - gross,Value,141.36
Lancaster,10 percentile,Total,Hourly pay - gross,Confidence,25.4
Lancaster,10 percentile,Total,Hourly pay - gross,Value,142.37
North West,10 percentile,Total,Hourly pay - gross,Confidence,4
North West,10 percentile,Total,Hourly pay - gross,Value,143.09
Pendle,10 percentile,Total,Hourly pay - gross,Confidence,34.4
Pendle,10 percentile,Total,Hourly pay - gross,Value,140.94
Preston,10 percentile,Total,Hourly pay - gross,Confidence,15.9
Preston,10 percentile,Total,Hourly pay - gross,Value,140.94
Ribble Valley,10 percentile,Total,Hourly pay - gross,Confidence,55.3
Ribble Valley,10 percentile,Total,Hourly pay - gross,Value,147.12
Rossendale,10 percentile,Total,Hourly pay - gross,Confidence,39.1
Rossendale,10 percentile,Total,Hourly pay - gross,Value,142.48
South Ribble,10 percentile,Total,Hourly pay - gross,Confidence,31.7
South Ribble,10 percentile,Total,Hourly pay - gross,Value,144.88
West Lancashire,10 percentile,Total,Hourly pay - gross,Confidence,37.2
West Lancashire,10 percentile,Total,Hourly pay - gross,Value,144.01
Wyre,10 percentile,Total,Hourly pay - gross,Confidence,40.8
Wyre,10 percentile,Total,Hourly pay - gross,Value,141.47
Blackburn with Darwen,10 percentile,Total,Weekly pay - gross,Confidence,222.4
Blackburn with Darwen,10 percentile,Total,Weekly pay - gross,Value,2635.2
Blackpool,10 percentile,Total,Weekly pay - gross,Confidence,210.8
Blackpool,10 percentile,Total,Weekly pay - gross,Value,2337.9
Burnley,10 percentile,Total,Weekly pay - gross,Confidence,231
Burnley,10 percentile,Total,Weekly pay - gross,Value,2488.8
Chorley,10 percentile,Total,Weekly pay - gross,Confidence,252.9
Chorley,10 percentile,Total,Weekly pay - gross,Value,2450.1
Fylde,10 percentile,Total,Weekly pay - gross,Confidence,240
Fylde,10 percentile,Total,Weekly pay - gross,Value,2054.5
